Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Selic;01/03/2029;10/07/2015;14,2781;14,3981;1.949,01;1.947,06;1.949,01
Tesouro Selic;01/03/2029;13/07/2015;14,1488;14,2688;1.938,02;1.936,08;1.938,02
Tesouro Selic;01/03/2029;14/07/2015;14,2270;14,3470;1.944,66;1.942,72;1.944,66
Tesouro Selic;01/03/2029;15/07/2015;14,3068;14,4268;1.951,46;1.949,51;1.951,46
Tesouro Selic;01/03/2029;16/07/2015;14,1953;14,3153;1.941,96;1.940,02;1.941,96
Tesouro Selic;01/03/2029;17/07/2015;14,1879;14,3079;1.941,33;1.939,39;1.941,33
Tesouro Selic;01/03/2029;20/07/2015;14,2028;14,3228;1.942,60;1.940,66;1.942,60
Tesouro Selic;01/03/2029;21/07/2015;14,1323;14,2523;1.936,61;1.934,68;1.936,61
Tesouro Selic;01/03/2029;22/07/2015;14,2441;14,3641;1.946,11;1.944,17;1.946,11
Tesouro Selic;01/03/2029;23/07/2015;14,2210;14,3410;1.944,15;1.942,21;1.944,15
Tesouro Selic;01/03/2029;24/07/2015;14,1345;14,2545;1.936,80;1.934,87;1.936,80
Tesouro Selic;01/03/2029;27/07/2015;14,1463;14,2663;1.937,80;1.935,86;1.937,80
Tesouro Selic;01/03/2029;28/07/2015;14,2153;14,3353;1.943,66;1.941,72;1.943,66
Tesouro Selic;01/03/2029;29/07/2015;14,1256;14,2456;1.936,05;1.934,11;1.936,05
Tesouro Selic;01/03/2029;30/07/2015;14,0692;14,1892;1.931,26;1.929,33;1.931,26
Tesouro Selic;01/03/2029;31/07/2015;14,2177;14,3377;1.943,87;1.941,93;1.943,87
Tesouro Selic;01/03/2029;03/08/2015;14,2627;14,3827;1.947,70;1.945,75;1.947,70
Tesouro Selic;01/03/2029;04/08/2015;14,2441;14,3641;1.946,12;1.944,17;1.946,12
Tesouro Selic;01/03/2029;05/08/2015;14,2494;14,3694;1.946,57;1.944,62;1.946,57
Tesouro Selic;01/03/2029;06/08/2015;14,1357;14,2557;1.936,90;1.934,96;1.936,90
Tesouro Selic;01/03/2029;07/08/2015;14,0531;14,1731;1.929,90;1.927,97;1.929,90
Tesouro Selic;01/03/2029;10/08/2015;14,0045;14,1245;1.925,80;1.923,87;1.925,80
Tesouro Selic;01/03/2029;11/08/2015;14,0310;14,1510;1.928,03;1.926,11;1.928,03
Tesouro Selic;01/03/2029;12/08/2015;13,9500;14,0700;1.921,20;1.919,28;1.921,20
Tesouro Selic;01/03/2029;13/08/2015;13,8661;13,9861;1.914,13;1.912,22;1.914,13
Tesouro Selic;01/03/2029;14/08/2015;13,7374;13,8574;1.903,34;1.901,44;1.903,34
Tesouro Selic;01/03/2029;17/08/2015;13,7767;13,8967;1.906,63;1.904,73;1.906,63
Tesouro Selic;01/03/2029;18/08/2015;13,6954;13,8154;1.899,83;1.897,93;1.899,83
Tesouro Selic;01/03/2029;19/08/2015;13,8170;13,9370;1.910,01;1.908,10;1.910,01
Tesouro Selic;01/03/2029;20/08/2015;13,9249;14,0449;1.919,08;1.917,16;1.919,08
Tesouro Selic;01/03/2029;21/08/2015;13,7962;13,9162;1.908,26;1.906,36;1.908,26
Tesouro Selic;01/03/2029;24/08/2015;13,7176;13,8376;1.901,68;1.899,78;1.901,68
Tesouro Selic;01/03/2029;25/08/2015;13,7683;13,8883;1.905,93;1.904,02;1.905,93
Tesouro Selic;01/03/2029;26/08/2015;13,6825;13,8025;1.898,76;1.896,86;1.898,76
Tesouro Selic;01/03/2029;27/08/2015;13,5722;13,6922;1.889,56;1.887,67;1.889,56
Tesouro Selic;01/03/2029;28/08/2015;13,7029;13,8229;1.900,46;1.898,55;1.900,46
Tesouro Selic;01/03/2029;31/08/2015;13,7242;13,8442;1.902,24;1.900,33;1.902,24
Tesouro Selic;01/03/2029;01/09/2015;13,7160;13,8360;1.901,55;1.899,65;1.901,55
Tesouro Selic;01/03/2029;02/09/2015;13,8014;13,9214;1.908,70;1.906,79;1.908,70
Tesouro Selic;01/03/2029;03/09/2015;13,8936;14,0136;1.916,45;1.914,53;1.916,45
Tesouro Selic;01/03/2029;04/09/2015;13,8008;13,9208;1.908,65;1.906,74;1.908,65
Tesouro Selic;01/03/2029;07/09/2015;13,6798;13,7998;1.898,53;1.896,63;1.898,53
Tesouro Selic;01/03/2029;08/09/2015;13,6592;13,7792;1.896,80;1.894,91;1.896,80
Tesouro Selic;01/03/2029;09/09/2015;13,6362;13,7562;1.894,89;1.893,00;1.894,89
Tesouro Selic;01/03/2029;10/09/2015;13,6263;13,7463;1.894,07;1.892,17;1.894,07
Tesouro Selic;01/03/2029;11/09/2015;13,6951;13,8151;1.899,80;1.897,90;1.899,80
Tesouro Selic;01/03/2029;14/09/2015;13,7471;13,8671;1.904,15;1.902,25;1.904,15
Tesouro Selic;01/03/2029;15/09/2015;13,8923;14,0123;1.916,34;1.914,42;1.916,34
Tesouro Selic;01/03/2029;16/09/2015;13,7719;13,8919;1.906,22;1.904,32;1.906,22
Tesouro Selic;01/03/2029;17/09/2015;13,7426;13,8626;1.903,78;1.901,88;1.903,78
Tesouro Selic;01/03/2029;18/09/2015;13,6944;13,8144;1.899,75;1.897,85;1.899,75
Tesouro Selic;01/03/2029;21/09/2015;13,8029;13,9229;1.908,83;1.906,92;1.908,83
Tesouro Selic;01/03/2029;22/09/2015;13,7275;13,8475;1.902,51;1.900,61;1.902,51
Tesouro Selic;01/03/2029;23/09/2015;13,6346;13,7546;1.894,75;1.892,86;1.894,75
Tesouro Selic;01/03/2029;24/09/2015;13,6192;13,7392;1.893,47;1.891,58;1.893,47
Tesouro Selic;01/03/2029;25/09/2015;13,5957;13,7157;1.891,52;1.889,63;1.891,52
Tesouro Selic;01/03/2029;28/09/2015;13,5293;13,6493;1.885,99;1.884,11;1.885,99
Tesouro Selic;01/03/2029;29/09/2015;13,4542;13,5742;1.879,77;1.877,89;1.879,77
Tesouro Selic;01/03/2029;30/09/2015;13,5812;13,7012;1.890,31;1.888,42;1.890,31
Tesouro Selic;01/03/2029;01/10/2015;13,5642;13,6842;1.888,89;1.887,00;1.888,89
Tesouro Selic;01/03/2029;02/10/2015;13,6726;13,7926;1.897,92;1.896,02;1.897,92
Tesouro Selic;01/03/2029;05/10/2015;13,6877;13,8077;1.899,18;1.897,28;1.899,18
Tesouro Selic;01/03/2029;06/10/2015;13,5528;13,6728;1.887,95;1.886,06;1.887,95
Tesouro Selic;01/03/2029;07/10/2015;13,7026;13,8226;1.900,43;1.898,53;1.900,43
Tesouro Selic;01/03/2029;08/10/2015;13,8034;13,9234;1.908,87;1.906,96;1.908,87
Tesouro Selic;01/03/2029;09/10/2015;13,9441;14,0641;1.920,70;1.918,78;1.920,70
Tesouro Selic;01/03/2029;12/10/2015;14,0720;14,1920;1.931,51;1.929,57;1.931,51
Tesouro Selic;01/03/2029;13/10/2015;14,1767;14,2967;1.940,38;1.938,44;1.940,38
Tesouro Selic;01/03/2029;14/10/2015;14,0765;14,1965;1.931,89;1.929,96;1.931,89
Tesouro Selic;01/03/2029;15/10/2015;14,0722;14,1922;1.931,52;1.929,59;1.931,52
Tesouro Selic;01/03/2029;16/10/2015;13,9864;14,1064;1.924,26;1.922,34;1.924,26
Tesouro Selic;01/03/2029;19/10/2015;13,9567;14,0767;1.921,76;1.919,84;1.921,76
Tesouro Selic;01/03/2029;20/10/2015;13,8243;13,9443;1.910,62;1.908,71;1.910,62
Tesouro Selic;01/03/2029;21/10/2015;13,7880;13,9080;1.907,57;1.905,67;1.907,57
Tesouro Selic;01/03/2029;22/10/2015;13,9336;14,0536;1.919,81;1.917,89;1.919,81
Tesouro Selic;01/03/2029;23/10/2015;13,8631;13,9831;1.913,88;1.911,97;1.913,88
Tesouro Selic;01/03/2029;26/10/2015;13,9483;14,0683;1.921,06;1.919,13;1.921,06
Tesouro Selic;01/03/2029;27/10/2015;13,9348;14,0548;1.919,92;1.918,00;1.919,92
Tesouro Selic;01/03/2029;28/10/2015;13,9117;14,0317;1.917,97;1.916,05;1.917,97
Tesouro Selic;01/03/2029;29/10/2015;14,0489;14,1689;1.929,55;1.927,62;1.929,55
Tesouro Selic;01/03/2029;30/10/2015;14,1976;14,3176;1.942,16;1.940,21;1.942,16
Tesouro Selic;01/03/2029;02/11/2015;14,2143;14,3343;1.943,58;1.941,64;1.943,58
Tesouro Selic;01/03/2029;03/11/2015;14,2798;14,3998;1.949,16;1.947,21;1.949,16
Tesouro Selic;01/03/2029;04/11/2015;14,1763;14,2963;1.940,34;1.938,40;1.940,34
Tesouro Selic;01/03/2029;05/11/2015;14,1153;14,2353;1.935,17;1.933,23;1.935,17
Tesouro Selic;01/03/2029;06/11/2015;14,2559;14,3759;1.947,12;1.945,17;1.947,12
Tesouro Selic;01/03/2029;09/11/2015;14,2796;14,3996;1.949,14;1.947,20;1.949,14
Tesouro Selic;01/03/2029;10/11/2015;14,2923;14,4123;1.950,22;1.948,27;1.950,22
Tesouro Selic;01/03/2029;11/11/2015;14,3667;14,4867;1.956,58;1.954,62;1.956,58
Tesouro Selic;01/03/2029;12/11/2015;14,2338;14,3538;1.945,24;1.943,30;1.945,24
Tesouro Selic;01/03/2029;13/11/2015;14,2591;14,3791;1.947,39;1.945,45;1.947,39
Tesouro Selic;01/03/2029;16/11/2015;14,2599;14,3799;1.947,47;1.945,52;1.947,47
Tesouro Selic;01/03/2029;17/11/2015;14,3658;14,4858;1.956,50;1.954,54;1.956,50
Tesouro Selic;01/03/2029;18/11/2015;14,2630;14,3830;1.947,73;1.945,78;1.947,73
Tesouro Selic;01/03/2029;19/11/2015;14,4012;14,5212;1.959,54;1.957,58;1.959,54
Tesouro Selic;01/03/2029;20/11/2015;14,2753;14,3953;1.948,77;1.946,82;1.948,77
Tesouro Selic;01/03/2029;23/11/2015;14,1810;14,3010;1.940,75;1.938,81;1.940,75
Tesouro Selic;01/03/2029;24/11/2015;14,2095;14,3295;1.943,17;1.941,23;1.943,17
Tesouro Selic;01/03/2029;25/11/2015;14,2621;14,3821;1.947,65;1.945,70;1.947,65
Tesouro Selic;01/03/2029;26/11/2015;14,1826;14,3026;1.940,89;1.938,95;1.940,89
Tesouro Selic;01/03/2029;27/11/2015;14,0686;14,1886;1.931,21;1.929,28;1.931,21
Tesouro Selic;01/03/2029;30/11/2015;14,1857;14,3057;1.941,15;1.939,21;1.941,15
Tesouro Selic;01/03/2029;01/12/2015;14,1096;14,2296;1.934,68;1.932,75;1.934,68
Tesouro Selic;01/03/2029;02/12/2015;14,1379;14,2579;1.937,09;1.935,15;1.937,09
Tesouro Selic;01/03/2029;03/12/2015;14,1737;14,2937;1.940,13;1.938,19;1.940,13
Tesouro Selic;01/03/2029;04/12/2015;14,1495;14,2695;1.938,07;1.936,13;1.938,07
Tesouro Selic;01/03/2029;07/12/2015;14,1746;14,2946;1.940,20;1.938,26;1.940,20
Tesouro Selic;01/03/2029;08/12/2015;14,1814;14,3014;1.940,78;1.938,84;1.940,78
Tesouro Selic;01/03/2029;09/12/2015;14,3118;14,4318;1.951,89;1.949,94;1.951,89
Tesouro Selic;01/03/2029;10/12/2015;14,2231;14,3431;1.944,33;1.942,39;1.944,33
Tesouro Selic;01/03/2029;11/12/2015;14,2880;14,4080;1.949,86;1.947,91;1.949,86
Tesouro Selic;01/03/2029;14/12/2015;14,2096;14,3296;1.943,18;1.941,24;1.943,18
Tesouro Selic;01/03/2029;15/12/2015;14,1783;14,2983;1.940,52;1.938,58;1.940,52
Tesouro Selic;01/03/2029;16/12/2015;14,2298;14,3498;1.944,90;1.942,96;1.944,90
Tesouro Selic;01/03/2029;17/12/2015;14,1698;14,2898;1.939,80;1.937,86;1.939,80
Tesouro Selic;01/03/2029;18/12/2015;14,1147;14,2347;1.935,12;1.933,18;1.935,12
Tesouro Selic;01/03/2029;21/12/2015;14,1902;14,3102;1.941,53;1.939,59;1.941,53
Tesouro Selic;01/03/2029;22/12/2015;14,0620;14,1820;1.930,66;1.928,73;1.930,66
Tesouro Selic;01/03/2029;23/12/2015;14,0495;14,1695;1.929,60;1.927,67;1.929,60
Tesouro Selic;01/03/2029;24/12/2015;14,1990;14,3190;1.942,28;1.940,34;1.942,28
Tesouro Selic;01/03/2029;25/12/2015;14,3478;14,4678;1.954,97;1.953,01;1.954,97
Tesouro Selic;01/03/2029;28/12/2015;14,2198;14,3398;1.944,05;1.942,11;1.944,05
Tesouro Selic;01/03/2029;29/12/2015;14,1338;14,2538;1.936,74;1.934,80;1.936,74
Tesouro Selic;01/03/2029;30/12/2015;14,0633;14,1833;1.930,77;1.928,84;1.930,77
Tesouro Selic;01/03/2029;31/12/2015;14,1933;14,3133;1.941,79;1.939,85;1.941,79
Tesouro Selic;01/03/2029;01/01/2016;14,3076;14,4276;1.951,53;1.949,58;1.951,53
Tesouro Selic;01/03/2029;04/01/2016;14,4214;14,5414;1.961,26;1.959,30;1.961,26
Tesouro Selic;01/03/2029;05/01/2016;14,3822;14,5022;1.957,91;1.955,95;1.957,91
Tesouro Selic;01/03/2029;06/01/2016;14,2795;14,3995;1.949,14;1.947,19;1.949,14
Tesouro Selic;01/03/2029;07/01/2016;14,3797;14,4997;1.957,69;1.955,73;1.957,69
Tesouro Selic;01/03/2029;08/01/2016;14,4407;14,5607;1.962,92;1.960,96;1.962,92
Tesouro Selic;01/03/2029;11/01/2016;14,4742;14,5942;1.965,80;1.963,83;1.965,80
Tesouro Selic;01/03/2029;12/01/2016;14,6204;14,7404;1.978,38;1.976,40;1.978,38
Tesouro Selic;01/03/2029;13/01/2016;14,6666;14,7866;1.982,37;1.980,39;1.982,37
Tesouro Selic;01/03/2029;14/01/2016;14,5189;14,6389;1.969,64;1.967,67;1.969,64
Tesouro Selic;01/03/2029;15/01/2016;14,6141;14,7341;1.977,83;1.975,85;1.977,83
